Power,Mean,VAR990,VAR999,CTE990,CTE999
d,87.62158,1270.49547,7159.11573,6601.74176,44480.25019
e,88.02523,1310.89773,7147.29553,6407.41506,41569.28915
f,84.51103,1335.35885,7067.79496,6018.5551,37129.39411
g,86.64437,1282.72787,7231.20214,6414.10167,42060.0466
h,85.20004,1297.87879,6924.74422,6121.11697,39151.19767
i,82.14607,1299.57307,6776.7235,5610.79389,33976.91253
j,84.14819,1343.42941,6794.58935,5745.05163,34668.88056
k,78.59249,1298.77085,6905.81917,5350.69543,31153.88116
l,82.82943,1255.81119,7399.54113,6143.2535,39841.36175
m,94.5133,1337.3907,7789.7933,7042.0407,46823.3325
n,85.98731,1391.01655,8146.12674,6429.19548,38922.3479
o,75.71897,1248.25808,8635.74849,5829.12902,34679.86234
